Наименование тиристора,"Uобр, п, В U*обр, max, В","Uзс, п, В U*зс, max, В","Iос, и, А","Iос, ср, А I*ос, п, А","Uос, и, В U*ос, В","Uу, нот, В","Iзс, п, мА I*зс, мА","Iобр, п, мА I*обр, мА","Iу, от, мА I*у,з,и, мА","Uу, от, В U*у,от,и, В","dUзс/dt, В/мкс","t вкл, мкс","t выкл, мкс"
КУ101А,10*,50*,1,"0,075","<=2,5*",-,"<=0,15*","<=0,15*",<=12,"1,5...8",100,2,35
КУ101Б,50*,50*,1,"0,075","<=2,5*",-,"<=0,15*","<=0,15*",<=12,"1,5...8",100,2,35
КУ101Г,80*,80*,1,"0,075","<=2,5*",-,"<=0,15*","<=0,15*",<=12,"1,5...8",100,2,35
КУ101Е,150*,150*,1,"0,075","<=2,5*",-,"<=0,15*","<=0,15*",<=12,"1,5...8",100,2,35
КУ102А,5*,50*,5,"0,05*","<=2,5*",">=0,2","<=0,1*",-,20* 20,7* (12),200,5,20
КУ102Б,5*,100*,5,"0,05*","<=2,5*",">=0,2","<=0,1*",-,20,7* (12),200,5,20
КУ102В,5*,150*,5,"0,05*","<=2,5*",">=0,2","<=0,1*",-,20* 20,7* (12),200,5,20
КУ102Г,5*,200*,5,"0,05*","<=2,5*",">=0,2","<=0,1*",-,20* 20,7* (12),200,5,20
КУ103А,-,150*,-,"0,001",<=3,"0,001","<=0,15*",1*,40,"0,4...2",-,-,-
КУ103В,-,150*,-,"0,001",<=3,"0,001","<=0,15*",1*,40,"0,4...2",-,-,-
КУ104А,6*,15*,3,"0,1",<=2*,>=1*,"<=0,5",-,<=15,<=2*,10,"0,29","2,5"
КУ104Б,6*,30*,3,"0,1",<=2*,>=1*,"<=0,5",-,<=15,<=2*,10,"0,29","2,5"
КУ104В,6*,60*,3,"0,1",<=2*,>=1*,"<=0,5",-,<=15,<=2*,10,"0,29","2,5"
КУ104Г,6*,100*,3,"0,1",<=2*,>=1*,"<=0,5",-,<=15,<=2*,10,"0,29","2,5"
КУ105А,30*,30*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ105Б,15*,15*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ105В,5*,30*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ105Г,5*,15*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ105Д,30*,30*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ105Е,15*,15*,2,"0,05","<=1,1*",">=0,1","<=0,001","<=0,003",<=5*,<=2*,>=10,"0,1","1,5"
КУ108В,500,1000,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,35,-
КУ108Ж,500,1000,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,100,-
КУ108М,400,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,35,-
КУ108Н,400,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,35,-
КУ108С,400,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,100,-
КУ108Т,400,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,100,-
КУ108Ф,300,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,35,-
КУ108Ц,300,800,150,-,<=4*,">=0,1","<=2,5","<=0,3",-,<=25*,20,100,-
КУ109А,50,700,12,1,"<=3,5*",-,"<=0,3",-,<=100,<=3, <=7*,-,-,6
КУ109Б,50,750,12,1,"<=3,5*",-,"<=0,3",-,<=100,<=3, <=7*,-,-,4
КУ109В,50,700,12,1,"<=3,5*",-,"<=0,3",-,<=100,<=3, <=7*,-,-,8
КУ109Г,50,600,12,1,"<=3,5*",-,"<=0,3",-,<=100,<=3, <=7*,-,-,-
КУ110А,10*,300,"0,6","0,3","<=1,9","0,6","<=0,075",-,"<=0,3","0,3...0,6; 7*",-,<=1,<=40
КУ110Б,10*,200,"0,6","0,3","<=2,3","0,6","<=0,075",-,"<=0,3","0,3...0,6; 7*",-,<=1,<=40
КУ110В,10*,100,"0,6","0,3",<=2,"0,6","<=0,075",-,"<=0,3","0,3...0,6; 7*",-,<=1,<=40
КУ111А,100*,400*,15,"0,3*",<=5,">=0,2","<=0,5*","<=0,5*",<=100*,-,50,-,<=20
КУ111Б,100*,200*,15,"0,3*",<=5,">=0,2","<=0,5*","<=0,5*",<=100*,-,50,-,<=20
КУ113В,-,300*,100,-,<=4,-,"<=0,1",-,-,7*,50,20,-
КУ113Г,-,200*,100,-,<=4,-,"<=0,1",-,-,7*,50,20,-
КУ120А,6...10,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ120Б,12...16,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ120В,18...20,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ120А-5,6...10,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ120Б-5,12...16,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ120В-5,18...20,-,-,-,"<=1,7*",-,"<=0,02","<=0,12",-,-,-,-,-
КУ121А,12,-,-,-,"<=1,7*",-,"<=0,02",-,"<=0,12",-,-,-,-
КУ121Б,18,-,-,-,"<=1,7*",-,"<=0,02",-,"<=0,12",-,-,-,-
КУ121В,20,-,-,-,"<=1,7*",-,"<=0,02",-,"<=0,12",-,-,-,-
КУ201А,25*,25*,30,о*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Б,25*,25*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201В,50*,50*,30,о*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Г,50*,50*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Д,100*,100*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Е,100*,100*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Ж,200*,200*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201И,200*,200*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<100
КУ201К,300*,300*,30,2*,о*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ201Л,300*,300*,30,2*,2*,-,<=5*,<=5*,<=100,<=6,5,<=10,<=100
КУ202А,-,25*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Б,25*,25*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202В,-,50*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Г,50*,50*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Д,-,100*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Е,100*,100*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Ж,-,200*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202И,200*,200*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202К,-,300*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Л,300*,300*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202М,-,400*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ202Н,400*,400*,30,10*,"<=1,5*",">=0,2",<=4*,<=4*,<=200,<=7,5,<=10,<=100
КУ203А,-,50,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203Б,-,100,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203В,-,150,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203Г,-,200,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203Д,50,50,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203Е,100,100,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203Ж,150,150,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ203И,200,200,100,5,<=2,">=0,1",<=10*,<=10*,<=450,"<=2,5; 10*",<=20,<=3,<=7
КУ204А,-,50,12,_,<=3,">=0,15",<=5,-,<=150,<=5,20,-,-
КУ204Б,-,100,12,—,<=3,">=0,15",<=5,-,<=150,<=5,20,-,-
КУ204В,-,200,12,,<=3,">=0,15",<=5,-,<=150,<=5,20,-,-
КУ208А,100*,100*,10,5*,<=2*,-,<=5*,-,<=160*,<=5*,10,<=10,<=150
КУ208Б,200*,200*,10,5*,<=2*,-,<=5*,-,<=160*,<=5*,10,<=10,<=150
КУ208В,300*,300*,10,5*,<=2*,-,<=5*,-,<=160*,<=5*,10,<=10,<=150
КУ208Г,400*,400*,10,5*,<=2*,-,<=5*,-,<=160*,<=5*,10,<=10,<=150
КУ210А,600,600,2000,20*,"<=1,8*",-,"<=1,5","<=1,5",<=150,-,50,-,<=150
КУ210Б,500,500,2000,20*,"<=1,8*",-,"<=1,5","<=1,5",<=150,-,50,-,<=150
КУ210В,400,400,2000,20*,"<=1,8*",-,"<=1,5","<=1,5",<=150,-,50,-,<=150
КУ211А,800*,800*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,60
КУ211Б,800*,800*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,120
КУ211В,700*,700*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,60
КУ211Г,700*,700*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,120
КУ211Д,600*,600*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,60
КУ211Е,600*,600*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,120
КУ211Ж,500*,500*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,60
КУ211И,500*,500*,200,20,<=3,-,<=2*,<=2*,<=600,-,200,-,120
КУ215А,500,1000,250,5*,<=3*,"0,1","<=1,5","<=1,5",-,-,50,-,<=150
КУ215Б,400,800,250,5*,<=3*,"0,1","<=1,5","<=1,5",-,-,50,-,<=150
КУ215В,300,600,250,5*,<=3*,"0,1","<=1,5","<=1,5",-,-,50,-,<=150
КУ216А,400,800,100,5*,2,-,"0,5","0,5",-,20*,50,-,20
КУ216Б,400,800,100,5*,2,-,"0,5","0,5",-,20*,50,-,80
КУ216В,300,600,100,5*,2,-,"0,5","0,5",-,20*,50,-,80
КУ218А,2000,2000,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218Б,2000,2000,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218В,1800,1800,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218Г,900,1800,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218Д,1600,1600,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218Е,800,1600,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218Ж,1400,1400,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ218И,700,1400,100,20*,"<=3,5*","0,1","<=1,5","<=1,5",<=500,<=7,<=120,-,<=250
КУ219А,1200,1200,1200,20*,<=2*,"0,2","<=1,5","<=1,5",-,<=40*,200,-,<=100
КУ219Б,1000,1000,1200,20*,<=2*,"0,2","<=1,5","<=1,5",-,<=40*,50,-,<=150
КУ219В,800,800,1200,20*,<=2*,"0,2","<=1,5","<=1,5",-,<=40*,50,-,<=200
КУ220А,-,1000,100,4,"<=1,5*",-,"<=0,5",-,-,<=40*,100,"<=0,2",<=50
КУ220Б,-,1000,100,4,"<=1,5*",-,"<=0,5",-,-,<=40*,100,"<=0,2",<=50
КУ220В,-,1000,100,4,"<=1,5*",-,"<=0,5",-,-,<=40*,100,"<=0,3",<=75
КУ220Г,-,800,100,4,"<=1,5*",-,"<=0,5",-,-,<=40*,100,"<=0,3",<=75
КУ220Д,-,800,100,4,"<=1,5*",-,"<=0,5",-,-,<=40*,100,"<=0,3",<=75
КУ221А,50,700,100,"3,2","<=3,5",10,"<=0,3",-,<=150,<=7*,500,-,<=10
КУ221Б,50,750,100,"3,2","<=3,5",30,"<=0,3",-,<=150,<=7*,200,-,<=10
КУ221В,50,700,100,"3,2","<=3,5",30,"<=0,3",-,<=150,<=7*,200,-,<=10
КУ221Г,50,600,100,"3,2","<=3,5",10,"<=0,3",-,<=150,<=7*,200,-,<=20
КУ221Д,50,500,100,"3,2","<=3,5",10,"<=0,3",-,<=150,<=7*,200,-,<=20
КУ222А,-,2000,400,-,"<=3,5*",">=0,15","<=1,5",-,-,<=50*,200,170,<=125
КУ222Б,-,1600,400,-,"<=3,5*",">=0,15","<=1,5",-,-,<=50*,200,300,<=125
КУ222В,-,2000,400,-,"<=3,5*",">=0,15","<=1,5",-,-,<=50*,200,170,<=250
КУ222Г,-,1600,400,-,"<=3,5*",">=0,15","<=1,5",-,-,<=50*,200,300,<=250
КУ222Д,-,1200,-,10,"<=3,5*",">=0,15",<=20*,-,-,<=50*,200,170,<=250
КУ222Е,-,1200,-,10,"<=3,5*",">=0,15",<=20*,-,-,<=50*,200,300,<=250
КУ224А,50,400,150,-,<=15,-,"<=0,3*",-,<=100,<=3,50,-,<=10
КУ228А1,-,100,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228Б1,100,100,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228В1,-,200,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228Г1,200,200,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228Д1,-,300,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228Е1,300,300,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228Ж1,-,400,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ228И1,400,400,30,10,-,-,<=2,-,-,-,20,<=2,<=40
КУ239А,-,400*,250,-,<=20,-,"<=0,2",-,-,<=2,50,10,-
КУ239Б,-,400*,250,-,<=20,-,"<=0,2",-,-,<=2,50,100,-
КУ240А,-,400*,100,-,"<=2,5",-,"<=0,3",-,-,"0,5...1,4",200,25,-
КУ240Б,-,400*,100,-,"<=2,5",-,"<=0,3",-,-,"0,5...2,2",200,25,-
КУ240В,-,400*,100,-,"<=2,5",-,"<=0,3",-,-,"0,5...2,2",200,25,-
КУ501А,-,400*,-,1,"<=1,4*",-,"<=0,05*",-,-,<=5,20,-,-
КУ502А,-,400*,-,"0,1","<=1,6*",-,"<=0,05*",-,-,<=3,20,-,-
КУ503А,±(6...10),-,-,-,"<=1,7",-,-,"±0,12","<=0,02",-,-,-,-
КУ503Б,±(12...16),-,-,-,"<=1,7",-,-,"±0,12","<=0,02",-,-,-,-
КУ503В,±(18...24),-,-,-,"<=1,7",-,-,"±0,12","<=0,02",-,-,-,-
КУ601А,100*,100*,-,5*,<=2*,-,-,-,<=160*,<=5,10,<=10,<=150
КУ601Б,200*,200*,-,5*,<=2*,-,-,-,<=160*,<=5,10,<=10,<=150
КУ601В,300*,300*,-,5*,<=2*,-,-,-,<=160*,<=5,10,<=10,<=150
КУ601Г,400*,400*,-,5*,<=2*,-,-,-,<=160*,<=5,10,<=10,<=150
КУ606А,-,700*,-,2,2*,-,"<=0,3",-,-,<=2,20,-,-
КУ610А,-,700,90,6,<=2*,-,<=5,-,<=50,"<=2,5",10,-,-
КУ610Б,-,400,90,6,<=2*,-,<=5,-,<=50,"<=2,5",10,-,-
КУ610В,-,200,90,6,<=2*,-,<=5,-,<=50,"<=2,5",10,-,-
КУ701А,-,800*,-,20,<=3*,-,<=6,-,-,<=5,<=100,30,-
КУ701Б,-,800*,-,20,<=2*,-,<=6,-,-,<=5,<=100,60,-
КУ701В,-,800*,-,20,<=3*,-,<=6,-,-,<=5,<=100,40,-
КУ701Г,-,800*,-,20,<=2*,-,<=6,-,-,<=5,<=100,120,-
КУ701Д,-,600*,-,20,<=3*,-,<=6,-,-,<=5,<=100,30,-
КУ701Е,-,600*,-,20,<=2*,-,<=6,-,-,<=5,<=100,60,-
КУ701Ж,-,600*,-,20,<=3*,-,<=6,-,-,<=5,<=100,40,-
КУ701И,-,600*,-,20,<=2*,-,<=6,-,-,<=5,<=100,120,-
КУ702А,-,2000,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,150,-
КУ702Б,-,2000,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,250,-
КУ702В,-,1600,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,150,-
КУ702Г,-,1600,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,250,-
КУ702Д,-,1200,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,150,-
КУ702Е,-,1200,-,20,"<=3,5*",-,<=20,-,-,<=7,<=200,250,-
КУ706А,-,1600,-,40,<=3*,-,<=20,-,-,<=40*,<=200,150,-
КУ706Б,-,1200,-,40,<=3*,-,<=20,-,-,<=40*,<=200,150,-
КУ706В,-,1000,-,40,<=3*,-,<=20,-,-,<=40*,<=200,150,-
КУ901А,-,-,13,-,<=2,-,"<=0,3",-,-,<=5,20,-,-
Д235А,-,50*,10,2,2*,2*,2*,2*,250,5*,-,5,35
Д235Б,-,100*,10,2,2*,2*,2*,2*,250,5*,-,5,35
Д235В,50*,50*,10,2,2*,2*,2*,2*,250,5*,-,5,35
Д235Г,100*,100*,10,2,2*,2*,2*,2*,250,5*,-,5,35
Д238А,-,50,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
Д238Б,-,100,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
Д238В,-,150,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
Д238Г,50,50,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
Д238Д,100,100,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
Д238Е,150,150,100,5,<=2,-,<=20,<=20,<=150,<=8*,>=5,<=10,<=35
